,time_str,latitude,longitude
93,2024-11-04T20:35:00.000-05:00,40.9602399,-73.7344349
95,2024-11-05T08:09:00.000-05:00,40.9601634,-73.7345886
96,2024-11-05T08:11:00.000-05:00,40.9748955,-73.7207081
97,2024-11-05T08:12:00.000-05:00,40.9745434,-73.7070513
98,2024-11-05T08:15:00.000-05:00,40.9897344,-73.6741655
99,2024-11-05T08:16:00.000-05:00,41.0006438,-73.6844453
100,2024-11-05T08:18:00.000-05:00,41.0136741,-73.7062973
101,2024-11-05T08:18:00.000-05:00,41.0144662,-73.7209146
102,2024-11-05T08:20:00.000-05:00,41.0290707,-73.7379375
103,2024-11-05T08:20:00.000-05:00,41.0308535,-73.7487333
104,2024-11-05T08:22:00.000-05:00,41.044416,-73.7642868
105,2024-11-05T08:23:00.000-05:00,41.0427065,-73.786153
106,2024-11-05T08:25:00.000-05:00,41.0497235,-73.807322
107,2024-11-05T08:25:00.000-05:00,41.0577052,-73.8138455
108,2024-11-05T08:28:00.000-05:00,41.0618038,-73.8377261
109,2024-11-05T08:42:00.000-05:00,41.0630245,-73.8391749
110,2024-11-05T08:44:00.000-05:00,41.0582871,-73.8268688
111,2024-11-05T08:45:00.000-05:00,41.0586822,-73.822756
112,2024-11-05T08:45:00.000-05:00,41.0560311,-73.8112832
113,2024-11-05T08:46:00.000-05:00,41.0482486,-73.8058694
114,2024-11-05T08:47:00.000-05:00,41.0422656,-73.7843766
115,2024-11-05T08:48:00.000-05:00,41.0451,-73.7718393
116,2024-11-05T08:49:00.000-05:00,41.0412434,-73.7624851
117,2024-11-05T08:49:00.000-05:00,41.0337009,-73.7537978
118,2024-11-05T08:51:00.000-05:00,41.0254087,-73.7313798
119,2024-11-05T08:52:00.000-05:00,41.0161676,-73.7244979
120,2024-11-05T08:53:00.000-05:00,41.009591,-73.698898
121,2024-11-05T08:54:00.000-05:00,41.0022535,-73.6909033
122,2024-11-05T08:54:00.000-05:00,40.9983411,-73.6812475
123,2024-11-05T08:55:00.000-05:00,40.9912003,-73.6770153
124,2024-11-05T08:57:00.000-05:00,40.9750856,-73.7032861
125,2024-11-05T08:58:00.000-05:00,40.9754897,-73.7161829
126,2024-11-05T08:59:00.000-05:00,40.9625613,-73.7356164
129,2024-11-05T09:01:00.000-05:00,40.9602619,-73.7362639
130,2024-11-05T09:02:00.000-05:00,40.9601401,-73.7345758
131,2024-11-05T09:17:00.000-05:00,40.9595281,-73.7315419
132,2024-11-05T09:22:00.000-05:00,40.9601102,-73.7345457
134,2024-11-05T16:19:00.000-05:00,40.9602743,-73.7344843
135,2024-11-05T16:20:00.000-05:00,40.9634377,-73.7349406
136,2024-11-05T16:21:00.000-05:00,40.9675057,-73.7267696
137,2024-11-05T16:22:00.000-05:00,40.9750898,-73.7192277
138,2024-11-05T16:22:00.000-05:00,40.9745692,-73.7051149
139,2024-11-05T16:25:00.000-05:00,40.9876956,-73.6767811
140,2024-11-05T16:25:00.000-05:00,40.9917333,-73.6770646
141,2024-11-05T16:26:00.000-05:00,40.9995947,-73.6823861
142,2024-11-05T16:27:00.000-05:00,41.0130636,-73.7041348
143,2024-11-05T16:28:00.000-05:00,41.014213,-73.7183519
144,2024-11-05T16:29:00.000-05:00,41.0277425,-73.7353583
145,2024-11-05T16:30:00.000-05:00,41.0306618,-73.7459809
146,2024-11-05T16:32:00.000-05:00,41.0416558,-73.7625365
147,2024-11-05T16:33:00.000-05:00,41.0436058,-73.7635973
149,2024-11-05T16:34:00.000-05:00,41.0458855,-73.7695482
148,2024-11-05T16:34:00.000-05:00,41.0453964,-73.7659119
150,2024-11-05T16:36:00.000-05:00,41.0424283,-73.7845458
151,2024-11-05T16:38:00.000-05:00,41.0467478,-73.8024815
152,2024-11-05T16:39:00.000-05:00,41.0576639,-73.8136622
153,2024-11-05T16:41:00.000-05:00,41.0621096,-73.8366484
154,2024-11-05T16:42:00.000-05:00,41.0614623,-73.839002
155,2024-11-05T16:54:00.000-05:00,41.0629431,-73.8391914
156,2024-11-05T16:57:00.000-05:00,41.0588378,-73.8280281
157,2024-11-05T16:58:00.000-05:00,41.0583686,-73.8200778
158,2024-11-05T16:58:00.000-05:00,41.0539726,-73.8098047
159,2024-11-05T16:59:00.000-05:00,41.048153,-73.8051212
162,2024-11-05T17:00:00.000-05:00,41.0424032,-73.7817737
163,2024-11-05T17:01:00.000-05:00,41.0456243,-73.7700654
164,2024-11-05T17:02:00.000-05:00,41.0410008,-73.7607422
165,2024-11-05T17:02:00.000-05:00,41.0320384,-73.7521789
166,2024-11-05T17:03:00.000-05:00,41.0294203,-73.7392849
167,2024-11-05T17:04:00.000-05:00,41.0235069,-73.729343
168,2024-11-05T17:04:00.000-05:00,41.0157452,-73.7240078
169,2024-11-05T17:06:00.000-05:00,41.0118736,-73.7019934
170,2024-11-05T17:07:00.000-05:00,41.0042111,-73.6941438
171,2024-11-05T17:07:00.000-05:00,40.9989549,-73.6819464
172,2024-11-05T17:08:00.000-05:00,40.9913864,-73.6771198
173,2024-11-05T17:09:00.000-05:00,40.9873588,-73.6808449
174,2024-11-05T17:10:00.000-05:00,40.9769514,-73.6989787
175,2024-11-05T17:11:00.000-05:00,40.9746722,-73.7218224
176,2024-11-05T17:12:00.000-05:00,40.9673208,-73.7271844
177,2024-11-05T17:13:00.000-05:00,40.9627371,-73.7349006
178,2024-11-05T17:15:00.000-05:00,40.9602103,-73.7366389
179,2024-11-05T17:16:00.000-05:00,40.9610141,-73.733596
180,2024-11-05T17:31:00.000-05:00,40.9602876,-73.7344584
181,2024-11-05T17:43:00.000-05:00,40.9602779,-73.7344571
185,2024-11-05T18:20:00.000-05:00,40.9602798,-73.7344598
188,2024-11-05T18:52:00.000-05:00,40.960272,-73.7344499
